topo_1.npy_x,topo_1.npy_y,slip_1.npy_x,slip_1.npy_y
0,3.188524043,0,-0.758463072
0.03960396,3.300781704,0.03960396,-0.768525718
0.079207921,3.148987456,0.079207921,-1.098848896
0.118811881,3.339435708,0.118811881,-0.999548212
0.158415842,3.160460644,0.158415842,-1.356790236
0.198019802,3.182843313,0.198019802,-1.340515481
0.237623762,3.368050993,0.237623762,-1.234758914
0.277227723,3.544662513,0.277227723,-1.225467697
0.316831683,3.754791091,0.316831683,-1.078393419
0.356435644,3.953465699,0.356435644,-0.943743885
0.396039604,3.87529719,0.396039604,-1.15395162
0.435643564,4.043476883,0.435643564,-1.110120234
0.475247525,4.088761829,0.475247525,-1.176733271
0.514851485,4.274392026,0.514851485,-1.000962021
0.554455446,4.451491391,0.554455446,-0.750702408
0.594059406,4.569762323,0.594059406,-0.19819695
0.633663366,4.168288122,0.633663366,0.307459291
0.673267327,3.354630483,0.673267327,0.401610131
0.712871287,2.166054789,0.712871287,-0.037820738
0.752475248,0.411090576,0.752475248,-0.764563691
0.792079208,-0.225590852,0.792079208,-0.886478365
0.831683168,-0.527799995,0.831683168,-1.038176332
0.871287129,-0.269849427,0.871287129,-0.80044338
0.910891089,0.022038104,0.910891089,-0.543347262
0.95049505,0.150752802,0.95049505,-0.688296162
0.99009901,0.259024782,0.99009901,-0.827075691
1.02970297,0.550257705,1.02970297,-0.829185475
1.069306931,0.704839914,1.069306931,-0.871442365
1.108910891,1.014238953,1.108910891,-0.459688556
1.148514851,0.876768196,1.148514851,-0.790081265
1.188118812,0.850191593,1.188118812,-0.719120504
1.227722772,1.214864762,1.227722772,-0.516273303
1.267326733,1.244451824,1.267326733,-0.660170575
1.306930693,1.454081006,1.306930693,-0.904633376
1.346534653,2.387796986,1.346534653,-0.91341384
1.386138614,4.080907716,1.386138614,-0.484354628
1.425742574,5.207988003,1.425742574,-0.104094241
1.465346535,5.967859075,1.465346535,-0.459797951
1.504950495,6.291090792,1.504950495,-0.727843767
1.544554455,6.435187464,1.544554455,-1.030208799
1.584158416,6.573811469,1.584158416,-1.065330674
1.623762376,6.599747447,1.623762376,-1.135006635
1.663366337,6.701962313,1.663366337,-1.08774121
1.702970297,6.502053377,1.702970297,-1.072772354
1.742574257,6.638226004,1.742574257,-0.924220536
1.782178218,6.26492353,1.782178218,-1.052901407
1.821782178,6.357082908,1.821782178,-0.860599688
1.861386139,6.304910404,1.861386139,-1.013738039
1.900990099,6.242709766,1.900990099,-1.021677565
1.940594059,6.195777241,1.940594059,-0.952627525
1.98019802,6.139916084,1.98019802,-0.920122831
2.01980198,5.99330677,2.01980198,-1.032582059
2.059405941,6.057808803,2.059405941,-0.942317803
2.099009901,6.056737279,2.099009901,-0.906160424
2.138613861,5.906429631,2.138613861,-1.017279365
2.178217822,6.04002993,2.178217822,-0.974661134
2.217821782,6.173357545,2.217821782,-0.815663583
2.257425743,5.930236527,2.257425743,-0.905533101
2.297029703,5.923398737,2.297029703,-0.980850041
2.336633663,6.307990616,2.336633663,-0.70908775
2.376237624,6.146694978,2.376237624,-0.885267601
2.415841584,6.067272718,2.415841584,-1.087607579
2.455445545,6.217590543,2.455445545,-0.83322559
2.495049505,6.357224668,2.495049505,-0.87980367
2.534653465,6.384794307,2.534653465,-1.112958392
2.574257426,6.46484393,2.574257426,-0.94374558
2.613861386,6.443497707,2.613861386,-0.840794488
2.653465347,6.406770335,2.653465347,-0.84108884
2.693069307,6.331503875,2.693069307,-0.673749978
2.732673267,6.246157641,2.732673267,-0.24416297
2.772277228,5.851115739,2.772277228,0.427346102
2.811881188,5.084166138,2.811881188,0.662045306
2.851485149,3.692990903,2.851485149,0.133255748
2.891089109,1.955610202,2.891089109,-0.566467868
2.930693069,0.826771862,2.930693069,-0.822599971
2.97029703,0.368068662,2.97029703,-0.873690024
3.00990099,0.176011737,3.00990099,-0.927999242
3.04950495,0.297152779,3.04950495,-1.069660346
3.089108911,0.273867648,3.089108911,-0.864406098
3.128712871,0.090490261,3.128712871,-0.975510713
3.168316832,0.04215994,3.168316832,-0.918742179
3.207920792,0.078812351,3.207920792,-0.921871155
3.247524752,-0.031715144,3.247524752,-0.902501269
3.287128713,-0.082188871,3.287128713,-0.961160905
3.326732673,-0.134404291,3.326732673,-1.081169636
3.366336634,0.025679241,3.366336634,-0.896561574
3.405940594,0.023222883,3.405940594,-1.0878005
3.445544554,0.521316495,3.445544554,-1.184356488
3.485148515,2.361801273,3.485148515,-0.654190825
3.524752475,4.114720004,3.524752475,-0.133476876
3.564356436,4.952034054,3.564356436,-0.638781355
3.603960396,5.308891936,3.603960396,-0.910774706
3.643564356,5.356045087,3.643564356,-1.342896079
3.683168317,5.418059074,3.683168317,-1.346818036
3.722772277,5.344066753,3.722772277,-1.360825202
3.762376238,5.279072148,3.762376238,-1.396721121
3.801980198,5.167492321,3.801980198,-1.609613847
3.841584158,5.340381174,3.841584158,-1.614606098
3.881188119,5.240297652,3.881188119,-1.873657884
3.920792079,5.306524481,3.920792079,-1.757860327
3.96039604,5.256036622,3.96039604,-1.674099686
4,5.089382993,4,-1.780586691
