author,marker,color
Zhang et al. 2021,o,#1f77b4
Bhushan et al. 2009,s,#ff7f0e
Vinogradova & Yakubov 2003,^,#2ca02c
Bonaccurso et al. 2002,D,#d62728
Cottin-Bizonne et al. 2005,v,#9467bd
Jing & Bhushan 2013,p,#8c564b
Li et al. 2022,*,#e377c2
Young et al. 2013,h,#bcbd22
Maali et al. 2008,X,#17becf
Han et al. 2025,P,#e7298a
Zhu et al. 2011,<,#7f7f7f
Ahmad et al. 2015,>,#c7519c
Keerthi et al. 2021,d,#ba43b4
Chen et al. 2022,+,#f07cab
Bouzigues et al. 2008,x,#00b5d8
Cottin-Bizonne et al. 2008,H,#bc5090
Lasne et al. 2008,|,#ffa600
Joseph et al. 2005,8,#003f5c
Radha et al. 2016,1,#58508d
